Generating full dataset...
Process 0: Noise detected in record 13, parameter 43
Process 0: Noise detected in record 15, parameter 41
Process 0: Noise detected in record 30, parameter 43
Process 0: Noise detected in record 43, parameter 32
Process 0: Noise detected in record 94, parameter 34
Process 0: Noise detected in record 128, parameter 29
Process 0: Noise detected in record 130, parameter 8
Process 1: Noise detected in record 2, parameter 20
Process 1: Noise detected in record 7, parameter 24
Process 1: Noise detected in record 15, parameter 3
Process 0: Noise detected in record 255, parameter 45
Process 0: Noise detected in record 276, parameter 34
Process 0: Noise detected in record 281, parameter 6
Process 1: Noise detected in record 45, parameter 47
Process 1: Noise detected in record 48, parameter 25
Process 1: Noise detected in record 80, parameter 45
Process 0: Noise detected in record 305, parameter 46
Process 1: Noise detected in record 148, parameter 26
Process 0: Noise detected in record 320, parameter 42
Process 0: Noise detected in record 343, parameter 11
Process 0: Noise detected in record 352, parameter 28
Process 0: Noise detected in record 404, parameter 12
Process 1: Noise detected in record 311, parameter 24
Process 1: Noise detected in record 345, parameter 39
Process 0: Noise detected in record 425, parameter 11
Process 0: Noise detected in record 428, parameter 37
Process 0: Noise detected in record 448, parameter 3
Process 1: Noise detected in record 388, parameter 1
Process 0: Noise detected in record 466, parameter 12
Process 0: Noise detected in record 486, parameter 13
Process 1: Noise detected in record 432, parameter 5
Process 1: Noise detected in record 433, parameter 17
Process 1: Noise detected in record 437, parameter 48
Process 1: Noise detected in record 550, parameter 14
Process 1: Noise detected in record 556, parameter 10
Process 0: Noise detected in record 560, parameter 49
Process 0: Noise detected in record 567, parameter 28
Process 0: Noise detected in record 605, parameter 36
Process 0: Noise detected in record 623, parameter 17
Process 1: Noise detected in record 684, parameter 20
Process 1: Noise detected in record 697, parameter 2
Process 1: Noise detected in record 704, parameter 9
Process 0: Noise detected in record 689, parameter 27
Process 1: Noise detected in record 749, parameter 21
Process 1: Noise detected in record 756, parameter 41
Process 0: Noise detected in record 729, parameter 45
Process 1: Noise detected in record 782, parameter 32
Process 1: Noise detected in record 783, parameter 48
Process 0: Noise detected in record 801, parameter 21
Process 0: Noise detected in record 806, parameter 42
Process 1: Noise detected in record 867, parameter 39
Process 1: Noise detected in record 869, parameter 38
Process 1: Noise detected in record 887, parameter 44
Process 1: Noise detected in record 918, parameter 36
Process 0: Noise detected in record 854, parameter 43
Process 1: Noise detected in record 931, parameter 0
Process 1: Noise detected in record 931, parameter 46
Process 1: Noise detected in record 940, parameter 1
Process 0: Noise detected in record 899, parameter 7
Process 0: Noise detected in record 983, parameter 6
Process 0: Noise detected in record 986, parameter 43
Process 0: Noise detected in record 993, parameter 13
Process 1: Cleaning completed
Process 0: Cleaning completed
Total records processed across all processes: 2000
Process 0: Noise detected in record 3, parameter 2
Process 0: Noise detected in record 25, parameter 49
Process 0: Noise detected in record 125, parameter 32
Process 0: Noise detected in record 185, parameter 28
Process 0: Noise detected in record 212, parameter 14
Process 0: Noise detected in record 237, parameter 48
Process 1: Noise detected in record 201, parameter 46
Process 1: Noise detected in record 233, parameter 38
Process 0: Noise detected in record 320, parameter 13
Process 0: Noise detected in record 340, parameter 40
Process 0: Noise detected in record 354, parameter 0
Process 1: Noise detected in record 263, parameter 6
Process 1: Noise detected in record 270, parameter 33
Process 0: Noise detected in record 359, parameter 25
Process 0: Noise detected in record 367, parameter 48
Process 0: Noise detected in record 387, parameter 40
Process 0: Noise detected in record 414, parameter 42
Process 0: Noise detected in record 431, parameter 2
Process 1: Noise detected in record 279, parameter 48
Process 1: Noise detected in record 282, parameter 47
Process 1: Noise detected in record 331, parameter 19
Process 0: Noise detected in record 476, parameter 4
Process 1: Noise detected in record 370, parameter 13
Process 0: Noise detected in record 526, parameter 48
Process 0: Noise detected in record 541, parameter 6
Process 1: Noise detected in record 399, parameter 1
Process 0: Noise detected in record 577, parameter 32
Process 1: Noise detected in record 436, parameter 37
Process 0: Noise detected in record 589, parameter 18
Process 0: Noise detected in record 595, parameter 12
Process 0: Noise detected in record 600, parameter 48
Process 1: Noise detected in record 480, parameter 33
Process 1: Noise detected in record 485, parameter 5
